,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2019-10-30,Good,Satisfactory,Very Poor,Severe,Very Poor,Severe,Severe,Severe,,Severe,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Severe,Severe,Very Poor,Severe,Very Poor,Very Poor,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Poor,Moderate,Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Very Poor,Very Poor,Very Poor,,,Moderate,Very Poor,Satisfactory,Severe,Very Poor,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Moderate,Satisfactory,Satisfactory,Moderate,Good,Severe,Severe,Very Poor,Satisfactory,Severe,Very Poor,Severe,Satisfactory,Poor,Satisfactory,Satisfactory,Very Poor,Moderate,Satisfactory,Moderate,Moderate,Good,Satisfactory,Satisfactory,Moderate,Satisfactory,Poor,Very Poor,Poor,,Poor,Poor,Moderate,,,,,,,,,,,
2019-10-31,Good,Moderate,Very Poor,Severe,Very Poor,Severe,Severe,Severe,,Severe,Very Poor,Severe,Severe,Severe,Very Poor,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Very Poor,Moderate,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Very Poor,Moderate,Moderate,Moderate,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor,,,Moderate,Severe,Satisfactory,Severe,Severe,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Poor,Satisfactory,Satisfactory,Satisfactory,Good,Severe,Severe,Very Poor,Satisfactory,Severe,Very Poor,Severe,Satisfactory,Moderate,Satisfactory,Satisfactory,Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Moderate,Satisfactory,Poor,Very Poor,,,Poor,Poor,Moderate,,,,,,,,,,,
2019-11-01,Satisfactory,Moderate,Very Poor,Severe,Severe,Severe,Severe,Severe,,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Very Poor,Severe,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,,Very Poor,Moderate,Moderate,Moderate,Satisfactory,Good,Good,Good,Satisfactory,Satisfactory,Satisfactory,Very Poor,Satisfactory,Very Poor,Very Poor,Severe,Moderate,,,Severe,Satisfactory,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Severe,Severe,Severe,Satisfactory,Severe,Very Poor,Severe,Moderate,Poor,Satisfactory,Satisfactory,Poor,Moderate,Good,Satisfactory,Moderate,Good,Good,Satisfactory,Moderate,Satisfactory,Poor,Very Poor,,,Moderate,Poor,Moderate,,,,,,,,,,,
2019-11-02,Good,Moderate,Severe,Severe,Severe,Severe,Severe,Severe,,Severe,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Severe,Severe,Very Poor,Severe,Poor,Very Poor,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,,Very Poor,Moderate,Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Severe,Severe,Severe,Moderate,,,Severe,Satisfactory,Severe,Severe,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Severe,Severe,Severe,Satisfactory,Severe,Poor,Severe,Moderate,Poor,Good,Satisfactory,,Moderate,Good,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Very Poor,Moderate,,Moderate,Poor,Moderate,,,,,,,,,,,
2019-11-03,Satisfactory,Poor,Severe,Severe,Severe,Severe,Severe,Severe,,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Very Poor,Severe,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Moderate,Very Poor,Moderate,Very Poor,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,Very Poor,Severe,Severe,Moderate,,,Severe,Satisfactory,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Moderate,Moderate,Moderate,Moderate,Satisfactory,Severe,Severe,Severe,Satisfactory,Severe,Moderate,Severe,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Good,Satisfactory,Satisfactory,Good,Satisfactory,,Satisfactory,Satisfactory,Moderate,Severe,Moderate,,Moderate,Poor,Satisfactory,,,,,,,,,,,
2019-11-04,Satisfactory,Very Poor,Very Poor,Severe,Severe,Severe,Severe,Severe,,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Very Poor,Moderate,Moderate,,Satisfactory,Satisfactory,Satisfactory,Moderate,Poor,Moderate,Poor,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Poor,Very Poor,Poor,Very Poor,Severe,Severe,Poor,,,Severe,Moderate,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Severe,Severe,Severe,Satisfactory,Severe,Moderate,Severe,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Good,Moderate,Satisfactory,Good,Moderate,,Moderate,Satisfactory,Moderate,Severe,Moderate,,Moderate,Very Poor,Moderate,,,,,,,,,,,
2019-11-05,Moderate,Poor,Severe,Severe,Very Poor,Very Poor,Very Poor,Severe,,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Moderate,Poor,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Poor,Very Poor,Poor,Severe,Severe,Severe,Poor,,Moderate,Very Poor,Moderate,Severe,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Very Poor,Severe,Severe,Poor,Moderate,Moderate,Moderate,Moderate,Very Poor,Severe,Very Poor,Moderate,Severe,Poor,Severe,Moderate,Poor,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Severe,Moderate,,Poor,Moderate,Moderate,,,,,,,,,,,
2019-11-06,Moderate,Poor,Very Poor,Very Poor,Poor,Poor,Poor,Very Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Very Poor,Poor,Poor,Poor,Poor,Severe,Poor,Moderate,Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very Poor,Moderate,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Moderate,,Moderate,Poor,Poor,Very Poor,Poor,Very Poor,Very Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Very Poor,Very Poor,Moderate,Moderate,Moderate,Moderate,Very Poor,Poor,Moderate,Moderate,Very Poor,,Very Poor,Satisfactory,Very Poor,Satisfactory,Satisfactory,Poor,Moderate,Satisfactory,Moderate,Satisfactory,Good,Satisfactory,Moderate,Moderate,Satisfactory,Very Poor,Very Poor,Moderate,,Very Poor,Moderate,Moderate,,,,,,,,,,,
2019-11-07,Moderate,Poor,Very Poor,Very Poor,Poor,Poor,Very Poor,Very Poor,,Poor,Poor,Very Poor,Poor,Poor,Poor,Poor,Very Poor,Poor,Poor,Poor,Very Poor,Very Poor,Poor,Moderate,Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Poor,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Poor,Very Poor,Poor,Very Poor,Very Poor,Severe,Moderate,,Severe,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Poor,Poor,Poor,Very Poor,Very Poor,Poor,Poor,Very Poor,Very Poor,Very Poor,Poor,Moderate,Moderate,Moderate,Moderate,Very Poor,Poor,Poor,Moderate,Very Poor,Poor,Very Poor,Moderate,Poor,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Good,Satisfactory,Poor,Satisfactory,Satisfactory,Very Poor,Very Poor,Moderate,,Poor,Satisfactory,Moderate,,,,,,,,,,,
2019-11-08,Moderate,Moderate,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Severe,Moderate,,Severe,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Very Poor,Very Poor,Very Poor,Moderate,Very Poor,Moderate,Very Poor,Moderate,Moderate,Good,Good,Moderate,Satisfactory,Good,Satisfactory,Good,Good,Satisfactory,Poor,Good,Good,,Very Poor,Moderate,,Moderate,Satisfactory,Satisfactory,,,,,,,,,,,
2019-11-09,Moderate,Moderate,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,,Very Poor,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Poor,Very Poor,Very Poor,Poor,Moderate,Moderate,Moderate,Satisfactory,,Satisfactory,Moderate,Satisfactory,Moderate,Poor,Very Poor,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Severe,Moderate,,Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Very Poor,Very Poor,Very Poor,Moderate,Very Poor,Satisfactory,Very Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Moderate,Satisfactory,,Satisfactory,Moderate,Satisfactory,Satisfactory,,Poor,Moderate,,Satisfactory,Satisfactory,Moderate,,,,,,,,,,,
2019-11-10,Moderate,Moderate,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Poor,Poor,Satisfactory,Satisfactory,,Satisfactory,,Satisfactory,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Poor,,Poor,Poor,Very Poor,Very Poor,Satisfactory,,Satisfactory,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Very Poor,Very Poor,Very Poor,Moderate,Very Poor,Satisfactory,Very Poor,Good,Good,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Moderate,Satisfactory,Good,Satisfactory,Moderate,Moderate,Satisfactory,,Moderate,,,Satisfactory,Moderate,Poor,,,,,,,,,,,
2019-11-11,Satisfactory,Moderate,Poor,Severe,Very Poor,Very Poor,Very Poor,,,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Poor,Moderate,Moderate,,Satisfactory,,Satisfactory,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,,Poor,Poor,Very Poor,Very Poor,Moderate,,Moderate,Very Poor,Moderate,Severe,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Severe,Very Poor,Severe,Severe,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Severe,Very Poor,Very Poor,Moderate,Severe,Satisfactory,Very Poor,Good,Satisfactory,Satisfactory,Moderate,,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,,Moderate,,Moderate,,,Satisfactory,Moderate,Poor,,,,,,,,,,,
2019-11-12,Satisfactory,Moderate,Very Poor,Severe,Severe,Severe,Severe,Severe,,Severe,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Very Poor,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Poor,Moderate,Poor,Poor,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,,Satisfactory,Very Poor,Very Poor,Very Poor,Moderate,,Moderate,Severe,Satisfactory,Severe,Severe,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Moderate,,Satisfactory,Moderate,Satisfactory,Severe,Severe,Severe,Satisfactory,Severe,Moderate,Severe,Satisfactory,Poor,Moderate,Moderate,Poor,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Poor,Moderate,,Moderate,Poor,Moderate,,,,,,,,,,,
2019-11-13,Satisfactory,Satisfactory,Very Poor,Severe,Severe,Severe,Severe,Severe,,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Very Poor,Moderate,Poor,Very Poor,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,,Satisfactory,Very Poor,Very Poor,Severe,Moderate,,Moderate,Severe,Satisfactory,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Severe,Severe,Severe,Satisfactory,Severe,Poor,Severe,Moderate,Very Poor,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Very Poor,Moderate,,Poor,Poor,Moderate,,,,,,,,,,,
2019-11-14,Moderate,Moderate,Very Poor,Severe,Severe,Severe,Severe,Severe,,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Poor,Satisfactory,Moderate,Satisfactory,Good,Moderate,Moderate,Very Poor,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Good,,Satisfactory,Very Poor,Very Poor,Severe,Moderate,,Moderate,Severe,Satisfactory,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Severe,Severe,Severe,Satisfactory,Severe,Moderate,Severe,Moderate,Poor,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Very Poor,Moderate,,Poor,Poor,Moderate,,,,,,,,,,,
2019-11-15,Satisfactory,Moderate,Very Poor,Severe,Severe,Severe,Severe,Severe,,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Very Poor,Moderate,Poor,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Good,,Good,Very Poor,Very Poor,Very Poor,Moderate,,Moderate,Severe,Satisfactory,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Severe,Severe,Severe,Satisfactory,Severe,Poor,Severe,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Poor,Moderate,Moderate,Moderate,Very Poor,Moderate,,Poor,Poor,Poor,,,,,,,,,,,
2019-11-16,Moderate,Moderate,Very Poor,Severe,Very Poor,Very Poor,Severe,Severe,,Severe,Very Poor,Severe,Severe,Severe,Severe,Very Poor,Severe,Severe,Severe,Very Poor,Severe,Severe,Very Poor,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Poor,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,,Satisfactory,Very Poor,Very Poor,Very Poor,Moderate,,Poor,Severe,Satisfactory,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Very Poor,Severe,Very Poor,Severe,Severe,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Severe,Severe,Severe,Satisfactory,Severe,,Very Poor,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,,Moderate,Moderate,Moderate,Very Poor,Moderate,,Poor,Moderate,Poor,,,,,,,,,,,
2019-11-17,Moderate,Satisfactory,Very Poor,Poor,Moderate,Poor,Poor,Very Poor,,Poor,Moderate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Severe,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,,Satisfactory,Poor,Very Poor,Very Poor,Moderate,,Poor,Poor,Satisfactory,Very Poor,Poor,Very Poor,Very Poor,Poor,Poor,Very Poor,Poor,Very Poor,Poor,Poor,Very Poor,Poor,Poor,Very Poor,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very Poor,Very Poor,Poor,Satisfactory,Very Poor,Poor,Poor,Moderate,Poor,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,,Poor,Satisfactory,Poor,,,,,,,,,,,
2019-11-18,Satisfactory,Satisfactory,Very Poor,Poor,Moderate,Poor,Poor,Very Poor,,Moderate,Moderate,Poor,Moderate,Poor,Poor,Poor,Poor,Moderate,Moderate,Moderate,Poor,Severe,Satisfactory,Poor,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Moderate,Moderate,,Moderate,Moderate,Moderate,Moderate,Satisfactory,,Satisfactory,Moderate,Poor,Poor,Moderate,,Moderate,Moderate,Satisfactory,Very Poor,Poor,Poor,Poor,Poor,Poor,Moderate,Very Poor,Poor,Poor,Poor,Very Poor,Poor,Poor,Very Poor,Poor,Satisfactory,Satisfactory,,Satisfactory,Very Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Satisfactory,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,,Poor,Satisfactory,Moderate,,,,,,,,,,,
2019-11-19,Satisfactory,Moderate,Very Poor,Very Poor,Moderate,Poor,Poor,Very Poor,,Moderate,Moderate,Poor,Moderate,Poor,Poor,Poor,Very Poor,Moderate,Poor,Moderate,Poor,Severe,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Very Poor,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Satisfactory,,Good,Moderate,Very Poor,Very Poor,Moderate,,Moderate,Moderate,Good,Poor,Poor,Poor,Very Poor,Poor,Poor,Moderate,Very Poor,Poor,Poor,Poor,Very Poor,Poor,Poor,Very Poor,Poor,Satisfactory,Satisfactory,Satisfactory,Good,Very Poor,Poor,Moderate,Satisfactory,Very Poor,Very Poor,Poor,Poor,Very Poor,Poor,Moderate,Moderate,Poor,Moderate,Poor,Poor,Moderate,Satisfactory,Satisfactory,Poor,Poor,Moderate,Moderate,Poor,,Poor,Moderate,Moderate,,,,,,,,,,,
2019-11-20,Moderate,Moderate,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,,Poor,Very Poor,Very Poor,Poor,Very Poor,Poor,Very Poor,Very Poor,Poor,Poor,Poor,Very Poor,Severe,Moderate,Poor,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,,Satisfactory,,Good,Poor,Very Poor,Very Poor,Moderate,,Moderate,Poor,Satisfactory,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Satisfactory,Satisfactory,Satisfactory,,Very Poor,,Poor,Satisfactory,Very Poor,Poor,Very Poor,Moderate,Very Poor,Poor,Poor,Poor,Poor,Moderate,Poor,Poor,Moderate,Satisfactory,Good,Poor,Poor,Poor,Very Poor,Moderate,,Poor,Poor,Moderate,,,,,,,,,,,
2019-11-21,Moderate,Moderate,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Very Poor,,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Severe,Poor,Poor,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Poor,Moderate,Moderate,Moderate,,Moderate,Moderate,Moderate,Poor,Moderate,Satisfactory,,Satisfactory,Very Poor,Very Poor,Very Poor,Moderate,,Moderate,Very Poor,Satisfactory,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Severe,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very Poor,Very Poor,Very Poor,Satisfactory,Severe,Poor,Very Poor,Moderate,Poor,Poor,Poor,Poor,Poor,Moderate,Poor,Poor,Moderate,Satisfactory,Satisfactory,Poor,Poor,Moderate,Very Poor,Moderate,,Poor,Moderate,Poor,,,,,,,,,,,
2019-11-22,Satisfactory,Moderate,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Very Poor,,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,,Moderate,Moderate,Moderate,Poor,Moderate,,,Satisfactory,Very Poor,Very Poor,Very Poor,Moderate,,Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor,Very Poor,Severe,Severe,Very Poor,Very Poor,Severe,Very Poor,Severe,Severe,Moderate,Moderate,Moderate,Moderate,Satisfactory,Severe,Very Poor,Very Poor,Satisfactory,Severe,Poor,Very Poor,Moderate,Poor,Poor,Poor,Moderate,Poor,Moderate,Poor,Poor,Moderate,Satisfactory,Satisfactory,Poor,Poor,Moderate,Very Poor,Moderate,,Poor,Poor,Poor,,,,,,,,,,,
2019-11-23,Satisfactory,Moderate,Severe,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Poor,Very Poor,Severe,Poor,,Moderate,Moderate,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Moderate,Poor,Poor,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Satisfactory,,Satisfactory,Very Poor,Very Poor,Very Poor,Poor,,Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very Poor,Very Poor,Very Poor,Satisfactory,Very Poor,Poor,Very Poor,Moderate,Poor,Moderate,Moderate,Moderate,Poor,Moderate,Poor,Moderate,Moderate,Satisfactory,Satisfactory,Poor,Moderate,Moderate,Very Poor,Poor,Good,Poor,Poor,Poor,,,,,,,,,,,
2019-11-24,Moderate,Moderate,Very Poor,Very Poor,Poor,Poor,Poor,Poor,,Poor,Moderate,Poor,Poor,Poor,Very Poor,Poor,Poor,Moderate,Poor,Moderate,Poor,Severe,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,,Satisfactory,Poor,Very Poor,Very Poor,Moderate,,Poor,Poor,Satisfactory,Poor,Poor,Very Poor,Very Poor,Poor,Poor,Very Poor,Poor,Very Poor,Poor,Poor,Very Poor,Poor,Poor,Very Poor,Poor,,Satisfactory,Satisfactory,Satisfactory,Very Poor,Very Poor,Poor,Satisfactory,Very Poor,Very Poor,Moderate,Moderate,Very Poor,Moderate,Moderate,Poor,Poor,Moderate,Poor,Poor,Moderate,Satisfactory,Satisfactory,Poor,Moderate,Poor,Poor,Poor,Good,Very Poor,Moderate,Poor,,,,,,,,,,,
