Date,AP001,AP005,BR007,DL002,DL004,DL007,DL008,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,DL003,DL009,DL010,DL015,DL016,DL018,DL024,DL026,DL027,DL032,DL037,DL038
2017-09-04,,,,,,,,,,,,,,,,,,,227.07,,3.37,4.885,6.29,41.35,1.8,,2.02,10.36,,4.73,,,7.98,6.46,11.07,,,7.31,,,11.1,4.88,,,,,,,,,,,,,
2017-09-05,,,,,,,,,,,,,,,,,,,17.63,,1.04,5.06,6.07,36.39,2.01,,2.03,10.34,,4.51,,,7.51,5.82,11.06,,,4.06,,,9.46,3.34,,,,,,,,,,,,,
2017-09-06,,,,,,,,,,,,,,,,2.88,,,24.83,,1.71,,6.21,39.03,1.8,,1.96,10.15,,4.96,,,17.71,7.0,12.45,,,5.26,,,12.57,2.94,,,,,,,,,,,,,
2017-09-07,,,,,24.38,,,,,,27.3,,,,,2.88,,,42.6,,1.79,,6.34,34.74,1.71,,1.68,10.32,,4.93,,,15.18,11.19,14.21,,,5.25,,,12.76,15.21,,,,,,,,,,,,,
2017-09-08,,,,,24.58,,,,,,17.15,,,,,3.66,,,49.77,,3.16,,6.37,27.79,1.74,,1.82,10.48,,4.85,,,10.69,6.85,11.71,,,5.01,,,13.38,14.99,,,,,,,,,,,,,
2017-09-09,,,,,24.41,,,,,,19.85,,,,,4.62,,,60.43,,3.59,,5.48,35.25,1.74,,1.91,10.55,,4.7,,,8.13,6.82,10.56,,,5.18,,,13.33,15.01,,,,,,,,,,,,,
2017-09-10,,,,,24.76,,,,,,44.21,,,,,4.66,,,85.97,,4.89,,6.13,57.2,1.85,,1.97,11.06,,4.39,,,9.85,5.85,10.06,,,5.12,,,20.43,15.06,,,,,,,,,,,,,
2017-09-11,,,,,23.7,,,,,,26.11,,,,,4.68,,,63.53,,3.22,,8.43,41.0,1.96,,2.03,10.77,,4.35,,,11.57,5.78,10.06,,,5.35,,,21.12,14.99,,,,,,,,,,,,,
2017-09-12,,,,,25.51,,,,,,17.86,,,,,4.66,,,62.16333333333333,,2.17,,8.05,29.21,2.07,,2.0,10.38,,4.3,,,9.11,5.88,10.28,,,6.95,,,17.57,16.71,,,,,,,,,,,,,
2017-09-13,,,,,24.44,,,,,,25.08,,,,,4.66,,,60.79666666666667,,3.49,,8.55,25.34,1.78,,1.74,10.41,,4.48,,,3.89,6.7,10.11,,,5.01,,,16.58,14.34,,,,,,,,,,,,,
2017-09-14,,,,,23.37,,,,,,121.25,,,,,4.66,,,59.43,,4.51,,7.66,18.1,1.76,,1.86,10.29,,5.1,,,9.27,5.91,10.35,,,4.57,,,7.98,12.37,,,,,,,,,,,,,
2017-09-15,,,,,22.3,,,,,,202.96,,,,,4.66,,,25.84,,3.32,,7.62,26.96,2.19,,1.93,10.58,,4.67,,,7.96,5.86,10.08,,,5.07,,,9.23,13.13,,,,,,,,,,,,,
2017-09-16,,,,,25.71,,,,,,24.51,,,,,4.78,,,22.2,,1.25,,7.38,30.96,1.72,,2.0,10.52,,4.5,,,8.29,5.67,9.81,,,5.2,,,8.02,10.78,,,,,,,,,,,,,
2017-09-17,,,,,22.52,,,,,,60.59,,,,,4.9,,,17.78,,1.0,,6.87,28.41,1.61,,1.98,10.27,,4.4,,,1.55,7.89,12.29,,,6.33,,,13.21,10.85,,,,,,,,,,,,,
2017-09-18,,,,,21.18,,,,,,51.08,,,,,4.77,,,19.1,,0.81,,6.24,20.21,1.59,,1.96,24.27,,4.89,,,8.16,5.35,9.19,,,5.81,,,8.07,10.83,,,,,,,,,,,,,
2017-09-19,,,,,22.68,,,,,,13.11,,,,,4.78,,,37.81,,1.13,,5.34,19.27,1.66,,1.96,7.61,,6.44,,,12.85,5.64,9.1,,,6.12,,,5.69,9.66,,,,,,,,,,,,,
2017-09-20,,,,,22.84,,,,,,23.94,,,,,4.72,,,119.51,,2.71,,5.11,13.87,1.72,,1.89,7.44,,7.94,,,7.15,5.29,8.63,,,3.37,,,6.07,12.64,,,,,,,,,,,,,
2017-09-21,,,,,24.96,,,,,,33.35,,,,,4.75,,,65.17,,1.26,,4.87,18.43,1.64,,2.06,7.64,,12.0,,,1.06,5.31,8.64,,,5.28,,,6.3,7.48,,,,,,,,,,,,,
2017-09-22,,,,,29.64,,,,,,13.82,,,,,4.77,,,8.45,,0.97,,5.33,15.62,1.7,,1.89,7.49,,11.91,,,,5.41,9.19,,,5.67,,,1.75,8.3,,,,,,,,,,,,,
2017-09-23,,,,,26.17,,,,,,13.95,,,,,4.789999999999999,,,,,0.23,,8.71,21.49,1.67,,1.95,7.49,,12.12,,,,6.01,10.52,,,4.52,,,2.12,12.55,,,,,,,,,,,,,
2017-09-24,,,,,24.79,,,,,,16.41,,,,,4.81,,,,,0.34,,10.84,31.98,1.6,,1.94,7.59,,11.7,,,,10.28,12.56,,,7.7,,,3.41,6.81,,,,,,,,,,,,,
2017-09-25,,,,,24.39,,,,,,20.04,,,,,4.79,,,,,1.81,,7.9,18.04,1.91,,2.0,7.64,,11.56,,,,7.18,11.84,,,23.48,,,3.34,6.74,,,,,,,,,,,,,
2017-09-26,,,5.81,,25.99,,,23.18,,,27.85,,45.27,,,4.77,,,,,2.69,,5.03,14.1,1.64,,2.08,7.67,,13.1,,3.6,,6.91,11.95,1.15,0.8,14.5,,,2.73,5.45,4.12,,,,,,,,,,,,
2017-09-27,,,66.18,,26.19,,,23.69,,9.85,37.19,,23.74,,,3.87,,,133.41,,3.0,,5.93,26.6,1.54,,2.45,8.56,,14.64,,0.9,,7.7,11.69,,,13.22,18.87,,3.08,5.58,5.53,,,,,,,,,,,,
2017-09-28,,,18.18,,26.39,,,23.32,,19.3725,24.76,,56.69,,,3.9,,,149.45,,2.23,,3.53,11.4,1.56,,2.14,10.73,,17.51,,0.9475,,7.6,12.98,,,12.33,14.37,,11.5,11.0,12.04,,,,,,,,,,,,
2017-09-29,,,3.65,,26.59,,,22.21,,28.895,,,61.02,21.46,,4.76,,,127.51,,2.87,,3.25,17.79,1.69,,1.96,13.6,,19.56,,0.995,,5.99,10.69,,,2.2,7.62,,11.99,11.39,16.65,,,,,,,,,,,,
2017-09-30,,,7.74,,24.585,,,22.79,,38.4175,,,13.81,19.68,,4.765,,,96.15,,2.27,,3.28,16.23,1.64,,1.91,13.97,,18.29,,1.0425,,5.78,10.44,,,1.92,8.83,,4.09,7.23,9.57,,,,,,,,,,,,
2017-10-01,,1.55,7.29,,22.58,16.95,8.33,23.87,21.56,47.94,,,16.16,17.9,,4.77,,53.51,64.79,,3.38,,3.1,13.06,1.66,2.37,1.09,9.32,,20.64,,1.09,1.81,0.38,2.51,1.95,0.69,1.81,9.83,4.32,4.25,7.01,20.5,,,,,,,,,,,,
2017-10-02,,1.75,8.06,,22.07,15.59,6.23,22.66,38.39,25.67,,,29.91,19.05,,4.76,,37.11,40.72,,2.47,,116.8,11.48,1.55,2.57,0.99,8.43,,14.39,,0.95,0.73,0.98,2.51,20.57,2.63,1.87,7.35,2.9,6.22,8.280000000000001,9.67,,,,,,,,,,,,
2017-10-03,,1.5,14.32,,,10.77,6.49,22.08,6.58,28.55,,,11.38,16.17,,,,18.55,59.66,,2.13,,3.67,14.39,1.64,3.08,0.69,8.95,,15.92,,1.2,3.93,15.53,9.82,1.54,25.82,1.83,9.28,3.11,5.18,9.55,24.86,,,,,,,,,,,,
2017-10-04,,1.97,14.63,,,,6.89,21.82,12.87,40.42,,,8.89,13.290000000000004,,,,20.73,92.02,,3.21,7.5,3.89,8.1,1.65,2.86,0.82,10.05,,17.84,,4.22,8.49,3.0,4.19,18.42,27.36,1.88,10.84,4.72,7.46,9.87,9.56,,,,,,,,,,,,
2017-10-05,,1.88,14.64,,,,6.44,19.74,8.61,27.06,6.86,,8.16,10.410000000000004,,,,16.19,25.19,,1.51,,2.36,34.3,1.65,14.88,1.36,7.13,,12.37,,3.81,7.55,2.49,29.39,10.37,20.74,1.63,15.26,3.14,11.42,16.2,25.3,,,,,,,,,,,,
2017-10-06,,1.55,14.26,,,,7.31,19.84,6.85,13.66,22.86,,7.32,7.53,,,,8.44,12.5,,1.48,,3.51,20.74,1.69,6.2,1.13,8.23,,13.94,,2.52,4.36,2.23,27.45,6.23,13.06,1.66,13.19,5.4,9.95,13.19,14.88,,,,,,,,,,,,
2017-10-07,,2.06,5.59,,,,6.8,21.01,10.97,33.92,23.81,,10.47,10.805,,,,11.7,28.74,,1.41,,3.78,24.4,2.47,9.46,0.97,12.73,,12.2,,1.23,1.58,1.01,57.11,46.05,24.06,1.6,13.18,3.03,12.85,18.03,19.23,,,,,,,,,,,,
2017-10-08,,1.67,16.52,,,,5.49,21.81,9.2,57.99,29.635,,10.38,14.08,,,,23.29,88.6,,3.15,,4.23,17.52,3.36,4.3,0.92,5.91,,11.93,,1.24,4.85,29.43,1.89,2.22,18.6,2.77,15.03,2.95,8.3,6.86,21.75,,,,,,,,,,,,
2017-10-09,,1.89,15.57,,21.89,,11.71,24.16,13.78,61.4,35.46,,32.96,,,,,47.8,101.4,,6.24,6.98,15.1,11.87,3.55,2.11,0.87,4.99,,12.03,,1.25,1.33,0.6,2.31,2.16,13.92,2.53,25.96,3.0,18.6,14.34,28.39,,,,,,,,,,,,
2017-10-10,,,19.87,,25.02,5.0,10.85,23.88,,59.12,,,24.93,,,,,59.74,,,4.81,,7.0,18.33,3.98,,,,,12.21,,1.0,,1.25,3.16,,26.29,2.77,6.26,,4.77,13.6,25.97,,,,,,,,,,,,
2017-10-11,,,96.9,,28.15,8.6,,23.05,,,,,30.41,,,,,71.67999999999999,,,4.93,,6.77,32.02,3.91,,,,,15.94,,1.36,,0.54,4.01,,7.49,2.53,6.96,,3.43,12.57,10.59,,,,,,,,,,,,
2017-10-12,,,12.26,,31.45,12.2,,17.86,,,,,23.98,,,,,83.61999999999999,,,2.29,,7.05,20.23,4.15,,,,,14.68,,0.98,,,,,13.72,2.56,8.66,,15.55,14.69,7.78,,,,,,,,,,,,
2017-10-13,,,10.84,,40.0,16.51,,18.15,,,,,22.03,,,,,95.56,,,3.4,,4.95,23.22,3.89,,,,13.47,20.18,,0.6,,,,,8.79,2.72,9.9,,42.24,33.56,21.78,,,,,,,,,,,,
2017-10-14,,,4.38,,35.623333333333335,16.333333333333336,,17.75,,,,,44.52,,,,,188.44,,,6.9,,3.38,23.02,3.87,,,,11.77,24.97,,0.75,,,,,10.87,7.05,10.0,,24.84,11.34,7.16,,,,,,,,,,,,
2017-10-15,,,17.3,,31.24666666666667,16.15666666666667,,17.91,,,,,22.03,,,,,106.82,,,4.23,,4.92,33.21,3.87,,,,13.6,49.96,,2.5,,,,,19.15,8.1,14.9,,18.82,12.71,14.68,,,,,,,,,,,,
2017-10-16,,,16.55,68.32,26.87,15.98,,17.13,,,54.66,24.22,31.97,13.22,,,80.02,92.89,,,7.44,7.68,2.75,22.3,3.95,,,,3.95,59.02,,3.58,,,,,8.47,8.79,15.5,,22.22,27.27,34.63,,,,,,,,,,,,
2017-10-17,,,13.01,78.9,24.31,15.64,,23.35,,14.01,63.7,27.12,26.96,13.79,103.14,,157.62,20.94,142.81,,7.4,7.546666666666667,2.12,38.45,4.11,,,,10.93,42.02,,,,,,,9.92,14.33,27.61,,30.82,5.31,49.43,,,,,,,,,,,,
2017-10-18,,,13.14,68.07,21.925,13.25,,24.75,,18.99,43.975,40.37,28.57,11.72,43.18,,155.67,47.77,176.71,,6.63,7.413333333333334,2.66,48.14,4.01,,,,7.17,10.44,,,,1.9,4.6,,14.57,27.71,15.65,,28.17,19.43,67.16,,,,,,,,,,,,
