Date,Ahmedabad,Delhi,Hyderabad,Patna,Visakhapatnam,Amritsar
2018-09-15,0.65,0.12,5.4,8.03,6.08,10.03
2018-09-16,0.65,0.0,7.68,7.99,5.44,10.48
2018-09-17,0.65,0.01,1.23,10.22,3.96,10.36
2018-09-18,0.65,0.0,4.07,11.18,5.14,10.57
2018-09-19,0.65,0.0,7.6,13.06,4.65,10.75
2018-09-20,0.65,0.01,12.12,17.18,4.42,10.58
2018-09-21,0.65,0.01,1.25,13.1,2.75,10.26
2018-09-22,0.65,0.01,0.59,11.96,2.73,9.23
2018-09-23,0.65,0.0,0.78,10.09,3.97,7.31
2018-09-24,0.65,0.0,1.5,11.44,2.71,6.79
2018-09-25,0.65,0.01,3.13,11.9,2.89,12.25
2018-09-26,0.65,0.01,9.91,11.19,4.23,15.71
2018-09-27,0.65,0.06,2.19,8.25,4.6,13.8
2018-09-28,0.65,0.12,14.97,9.66,2.91,15.15
2018-09-29,0.65,0.1,24.06,7.7,3.56,14.48
2018-09-30,0.65,0.03,15.5,5.65,2.39,15.52
2018-10-01,0.65,0.04,2.79,6.31,2.68,15.25
2018-10-02,1.28,0.04,5.23,6.64,4.5,15.23
2018-10-03,3.3,0.32,1.19,9.21,2.01,14.76
2018-10-04,4.34,1.1,1.33,11.24,4.11,13.28
2018-10-05,4.34,1.64,1.37,11.6,3.98,8.32
2018-10-06,5.84,0.83,5.93,8.99,5.1,12.6
2018-10-07,7.16,0.57,6.31,7.71,2.67,14.68
2018-10-08,7.16,0.82,3.19,10.06,2.22,10.72
2018-10-09,7.16,0.73,18.56,14.79,2.6,8.76
2018-10-10,7.16,0.61,28.24,15.34,3.41,10.38
2018-10-11,7.16,0.41,24.01,13.19,5.2,7.66
2018-10-12,7.16,0.66,19.53,13.94,3.65,12.73
2018-10-13,7.16,1.96,14.77,11.4,2.26,14.86
2018-10-14,7.16,1.1,14.87,7.46,3.73,14.5
2018-10-15,7.16,1.22,2.0,7.67,4.86,10.83
2018-10-16,7.16,3.04,2.12,7.28,3.34,7.83
