Date,AP005,BR007,DL017,DL025,DL030,GJ001,PB001,TG001,TG002,TG003,TG004,TG005,TG006
2017-10-29,0.0,0.44,0.0,0.27,0.0,3.75,26.57,0.0,0.0,0.0,0.0,0.0,0.11
2017-10-30,0.0,0.2,0.0,0.28,0.0,2.455,25.97,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,1.11,0.22,0.0,0.28,0.0,1.16,26.31,0.08,19.97,0.98,6.37,3.32,0.83
2017-11-01,1.07,0.0,0.0,0.27,0.0,0.0,25.7,0.05,26.27,0.91,2.54,4.22,3.0
2017-11-02,1.1,0.18,0.0,0.28,0.0,0.0,26.93,0.01,17.37,0.7,6.97,1.56,0.4
2017-11-03,0.85,0.31,0.0,0.27,0.0,3.37,26.31,0.02,13.37,0.4,14.75,1.58,0.72
2017-11-04,0.83,0.68,0.0,0.27,0.0,5.22,29.17,0.0,14.05,0.43,6.26,1.26,0.48
2017-11-05,0.49,0.6,0.0,0.27,0.0,6.02,28.23,0.0,13.39,0.28,0.61,0.79,0.04
2017-11-06,1.04,0.46,0.0,0.28,0.0,14.62,26.22,0.0,16.84,0.36,0.72,0.89,0.2
2017-11-07,1.01,0.42,0.0,0.26,0.0,39.38,25.01,0.0,28.35,1.03,17.28,2.44,0.81
2017-11-08,0.99,0.55,0.0,0.25,0.0,51.5,25.25,0.0,23.26,0.52,10.09,1.99,0.26
2017-11-09,1.15,0.57,0.0,0.25,0.0,44.36,26.66,0.09,20.56,0.92,12.48,1.46,0.11
2017-11-10,1.04,0.87,0.0,0.27,0.0,39.8,26.69,0.0,13.97,0.46,5.54,0.8,0.36
2017-11-11,0.93,0.84,0.0,0.27,0.0,40.55,25.83,0.01,12.93,0.45,1.72,1.57,0.0
2017-11-12,0.53,0.55,0.0,0.26,0.0,0.0,24.9,0.05,15.44,0.6,4.77,3.52,0.02
2017-11-13,0.62,0.7,0.0,0.32,0.0,8.3,24.27,0.05,19.74,0.97,9.18,1.55,0.26
2017-11-14,1.09,3.5,0.0,0.28,0.0,32.14,23.97,0.02,18.89,1.09,23.61,2.68,0.0
2017-11-15,1.05,3.59,0.0,0.28,0.0,24.73,22.83,0.05,10.32,0.34,12.9,3.08,0.0
2017-11-16,1.45,2.39,0.0,0.49,0.0,6.98,24.21,0.21,6.86,0.26,2.19,1.57,0.02
2017-11-17,1.68,2.36,0.0,0.74,0.0,4.07,20.58,0.02,12.87,0.24,3.77,1.31,0.0
2017-11-18,1.19,3.59,0.0,0.31,0.0,3.84,14.11,0.04,13.43,0.33,1.07,1.45,1.2
2017-11-19,0.66,3.46,0.0,0.35,0.0,3.58,13.38,0.05,14.26,0.57,2.16,2.52,2.69
2017-11-20,0.83,1.69,0.0,0.39,0.0,81.26,15.21,0.06,21.29,0.8,0.82,2.42,44.97
2017-11-21,0.83,1.44,0.0,0.4,0.0,32.4,15.94,0.12,17.37,0.87,1.48,1.88,17.24
2017-11-22,1.09,1.64,0.0,0.42,0.0,37.06,17.21,0.19,13.89,0.75,0.57,2.14,0.1
2017-11-23,1.81,1.29,0.0,0.42,0.0,5.8,15.67,0.74,8.37,0.52,4.41,2.98,0.0
2017-11-24,1.94,2.9,0.0,0.44,0.0,5.88,17.59,0.17,9.73,0.55,2.8,1.72,0.0
2017-11-25,1.07,2.4,0.0,0.41,0.0,4.42,18.47,0.05,8.01,0.3,0.9,0.96,0.57
2017-11-26,1.1,3.12,0.0,0.4,0.0,16.9,18.92,0.12,6.68,0.76,1.54,2.32,0.06
2017-11-27,1.98,2.1,0.0,0.39,0.0,7.32,16.8,0.07,14.97,0.85,15.58,3.04,0.18
2017-11-28,3.56,2.55,0.0,0.4,0.0,8.85,18.88,0.15,19.59,0.73,24.57,3.82,0.08
2017-11-29,2.13,5.41,0.0,0.43,0.0,12.9,19.51,0.12,19.3,0.55,5.64,1.69,0.03
2017-11-30,1.13,7.2,0.0,0.39,0.0,24.51,20.81,0.17,18.46,0.66,1.56,1.2,0.11
2017-12-01,1.73,5.19,0.0,0.41,0.0,21.26,22.35,0.09,14.21,0.72,6.49,1.39,0.06
2017-12-02,0.69,7.22,0.0,0.4,0.0,7.27,19.74,0.07,14.66,0.37,0.82,0.91,6.73
2017-12-03,0.67,4.05,0.0,0.39,0.0,3.59,20.02,0.09,13.11,0.56,1.14,1.77,1.25
2017-12-04,1.04,3.5,0.0,0.39,0.0,4.86,16.63,0.06,11.44,0.46,0.76,1.4,0.45
2017-12-05,1.87,4.19,0.0,0.39,0.0,16.69,15.93,0.08,9.36,0.34,0.59,1.77,0.46
2017-12-06,2.23,4.08,0.0,0.39,0.0,3.73,11.05,0.15,10.6,0.38,0.23,1.65,2.1
2017-12-07,1.12,3.64,0.0,0.39,0.0,9.9,15.73,0.06,14.94,0.7,0.6,2.43,4.68
2017-12-08,1.27,3.55,0.0,0.39,0.0,10.1,18.04,0.01,9.89,0.37,0.96,2.27,8.43
2017-12-09,1.32,4.54,0.0,0.39,0.0,9.42,19.51,0.1,8.31,0.51,6.52,1.21,11.39
2017-12-10,1.9,2.81,0.0,0.39,0.0,14.29,17.46,0.09,8.09,0.36,5.72,1.67,0.63
2017-12-11,1.45,3.33,0.0,0.39,0.0,17.99,13.09,0.96,13.47,0.69,9.74,2.17,3.97
2017-12-12,1.67,2.57,0.0,0.39,0.0,28.35,11.12,0.27,21.65,1.17,5.41,4.58,3.68
2017-12-13,2.33,2.0,0.0,0.39,0.0,3.92,16.32,0.18,17.99,1.08,1.78,3.16,2.42
2017-12-14,0.93,1.74,0.0,0.4,0.0,3.21,22.25,0.18,14.97,0.76,0.83,2.13,
2017-12-15,1.31,1.67,0.0,0.39,0.0,8.36,,0.17,15.33,0.73,0.47,1.92,
2017-12-16,3.08,1.53,0.0,0.39,0.0,3.29,,0.24,18.06,1.01,5.78,3.08,
2017-12-17,2.4,1.47,0.0,0.39,0.0,3.21,,0.14,18.11,1.06,3.22,4.06,
2017-12-18,1.65,2.65,0.0,0.4,0.0,9.93,,0.04,8.38,0.33,1.0,0.83,
2017-12-19,1.29,2.08,0.0,0.39,0.0,12.11,,0.07,12.23,0.46,3.45,1.17,
2017-12-20,1.87,3.79,0.0,0.21,0.0,8.47,,0.23,24.96,1.47,16.15,3.69,
2017-12-21,1.46,2.59,0.0,0.32,0.0,7.72,19.43,0.13,21.68,1.14,5.03,5.02,0.0
2017-12-22,2.32,1.82,0.0,0.75,0.0,5.22,7.89,0.14,31.82,1.16,8.27,5.25,0.06
2017-12-23,3.09,1.88,0.0,1.13,0.0,20.17,8.95,0.15,16.62,1.12,11.85,3.85,0.12
2017-12-24,2.09,1.3,0.0,4.16,0.0,17.71,10.23,0.2,16.9,0.87,2.64,6.33,0.02
2017-12-25,1.2,2.36,0.0,1.57,0.0,17.33,11.68,0.39,18.1,0.87,1.03,4.37,0.0
2017-12-26,2.26,1.73,0.0,2.01,0.0,11.46,12.87,0.04,17.85,0.88,1.51,2.06,1.43
2017-12-27,1.72,2.26,0.0,0.27,0.0,16.78,13.57,0.12,12.71,0.66,9.41,1.48,2.14
2017-12-28,2.68,3.34,0.0,0.0,0.0,26.51,9.38,0.08,15.1,1.07,9.62,2.4,6.46
2017-12-29,1.71,1.83,0.0,3.02,0.0,17.48,7.86,0.17,21.24,1.45,2.85,3.75,1.43
2017-12-30,1.01,2.08,0.0,3.99,0.0,9.53,9.95,0.3,18.41,0.94,0.68,6.45,1.0
2017-12-31,0.56,1.29,0.0,1.04,0.0,6.52,12.85,0.17,22.44,0.93,1.19,4.39,0.88
2018-01-01,0.66,1.1,0.0,0.73,0.0,6.33,10.61,0.25,16.19,0.53,1.36,3.44,0.59
2018-01-02,0.73,1.9,0.0,0.95,0.0,7.48,9.71,0.06,13.09,0.57,1.02,2.88,1.57
2018-01-03,1.65,1.82,0.0,1.14,0.0,9.5,5.67,0.19,12.96,0.43,0.59,1.51,14.71
2018-01-04,2.4,1.41,0.0,1.55,0.0,11.29,,0.34,15.91,0.36,1.96,3.23,16.92
