Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2017-11-25,140.1,3.81,15.29,17.95,11.13,13.35,20.99,7.35,8.78,11.24,10.92,4.79,15.24
2017-11-26,117.82,3.75,11.31,21.01,11.19,10.47,29.86,10.85,8.23,9.17,8.99,3.84,26.96
2017-11-27,122.74,3.82,15.38,18.95,12.16,15.16,20.68,7.61,7.34,10.52,8.53,4.65,33.59
2017-11-28,123.22,3.95,19.09,19.39,8.69,16.7,22.84,10.97,8.89,15.28,7.73,3.41,19.0
2017-11-29,113.88,3.99,11.66,20.1,10.96,15.0,17.53,9.23,5.7,6.11,8.99,1.52,10.55
2017-11-30,104.74,4.12,8.83,16.83,8.59,14.09,16.88,7.79,7.2,6.23,10.28,3.02,14.07
2017-12-01,107.36,3.23,9.32,17.59,8.26,14.25,20.61,10.36,10.41,6.53,8.25,2.93,13.9
2017-12-02,103.62,2.98,11.23,20.17,8.96,10.97,28.35,11.12,7.28,8.67,8.1,4.19,19.37
2017-12-03,88.67,2.16,14.78,19.92,8.77,9.54,23.45,10.33,6.61,6.87,7.7,3.92,11.41
2017-12-04,85.69,2.58,20.97,20.17,9.54,12.21,24.46,8.46,9.75,4.54,8.55,4.96,9.84
2017-12-05,58.91,3.02,10.72,18.29,10.58,13.2,26.59,8.77,9.07,3.69,9.56,4.803333333333334,14.02
2017-12-06,31.81,4.86,14.01,20.88,11.95,13.15,25.24,6.07,10.87,4.3,10.63,4.646666666666667,16.54
2017-12-07,45.02,4.42,17.67,18.17,8.77,16.11,20.03,6.66,12.56,10.52,10.06,4.49,28.79
2017-12-08,74.08,4.75,14.6,21.69,13.25,24.61,16.82,7.68,11.66,15.63,10.8,1.45,22.97
2017-12-09,114.3,4.86,12.04,24.22,15.34,19.03,20.24,8.71,10.45,6.8,6.13,4.71,21.9
2017-12-10,98.31,4.96,9.89,25.97,13.86,22.76,58.61,11.07,11.55,7.07,6.87,4.33,13.65
2017-12-11,115.96,4.41,7.67,24.39,10.23,22.48,37.5,7.19,10.08,9.09,7.74,3.96,18.37
2017-12-12,86.58,3.84,6.1,11.71,10.5,12.94,30.54,4.67,11.13,4.37,4.33,3.64,7.42
2017-12-13,112.57,3.72,9.12,10.81,8.87,8.51,38.42,4.37,7.11,4.5,3.32,3.43,5.81
2017-12-14,116.77,3.71,13.19,11.18,8.43,7.88,59.67,4.31,6.7,6.69,13.63,3.99,5.8
2017-12-15,105.41,2.87,11.93,9.69,11.8,7.52,46.3,3.87,5.84,6.22,16.03,5.33,8.33
2017-12-16,102.44,3.2,7.92,4.98,8.63,8.56,39.91,5.07,14.22,4.64,13.97,3.07,8.51
2017-12-17,99.74,3.56,8.69,12.68,10.49,12.3,38.89,4.27,14.12,4.03,10.11,3.38,16.05
2017-12-18,98.89,3.66,8.65,16.97,9.83,22.04,34.58,5.95,26.03,3.97,12.86,4.12,14.05
2017-12-19,109.76,3.71,21.79,23.03,10.93,24.06,54.94,8.16,9.21,5.83,13.65,4.54,15.45
2017-12-20,102.25,6.38,11.48,25.0,13.64,21.88,51.15,5.98,6.59,6.1,10.35,3.96,13.35
2017-12-21,114.05,5.76,10.75,22.54,12.24,16.67,46.2,3.68,6.93,12.91,11.87,5.13,13.58
2017-12-22,99.05,3.32,13.33,20.47,11.66,16.21,45.23,3.98,10.78,2.98,8.57,3.44,29.88
2017-12-23,110.69,3.55,13.21,19.95,9.16,15.01,50.93,4.23,40.38,3.34,9.47,4.1,11.85
2017-12-24,127.91,2.29,15.53,23.73,8.54,10.11,54.55,5.26,13.44,3.36,7.95,5.42,10.85
2017-12-25,116.39,2.78,8.9,23.76,7.07,8.51,39.37,4.23,8.55,3.31,12.47,3.39,12.23
2017-12-26,85.87,2.72,14.59,22.1,8.41,18.35,41.33,6.06,15.18,2.86,9.15,3.44,18.07
2017-12-27,111.43,3.4,13.05,23.17,8.66,16.26,34.09,11.58,16.39,3.44,11.31,3.89,17.01
2017-12-28,113.39,3.38,11.39,25.51,9.5,14.18,33.04,12.14,16.54,5.94,7.65,3.89,15.52
2017-12-29,112.46,3.6,12.13,25.54,10.19,10.66,34.99,10.43,6.26,3.94,11.57,3.38,9.47
2017-12-30,113.34,3.26,8.92,21.01,7.24,9.62,37.05,7.02,5.44,3.58,17.52,4.14,8.26
2017-12-31,115.41,2.95,6.62,17.97,7.64,8.17,53.72,7.07,8.38,3.77,12.93,4.32,11.45
2018-01-01,102.36,3.2,6.0,18.58,6.89,11.25,51.63,8.7,5.75,2.9,9.85,3.51,26.05
2018-01-02,103.46,3.37,8.23,12.43,8.56,9.44,36.7,8.524999999999999,9.84,3.12,12.7,3.29,12.81
2018-01-03,70.3,2.8,12.77,10.28,7.57,10.52,49.93,8.35,12.67,3.54,12.06,6.04,16.82
2018-01-04,93.3,3.32,11.75,14.42,7.77,17.34,42.33,8.56,34.16,,12.22,5.21,16.93
2018-01-05,93.86,5.34,16.44,13.2,9.07,15.67,30.81,8.1,11.99,,9.67,7.36,23.11
2018-01-06,113.82,4.28,29.31,18.15,8.87,12.81,39.19,8.73,12.97,,10.3,8.37,11.86
2018-01-07,107.58,3.37,17.55,16.27,8.86,11.62,56.84,7.24,14.41,,16.11,6.67,9.63
